id_entrada,rut
2,44715611-3
4,91995839-1
6,82645956-5
8,14200344-9
10,74415365-4
12,41091494-8
14,73324033-4
16,67629255-1
18,38631846-8
20,33572631-6
22,32359787-1
24,94362008-3
26,86043030-4
28,79459402-3
30,70388205-6
32,34776869-3
34,95514882-7
36,79758989-6
38,82376572-k
40,63968995-6
42,84911278-3
44,96735305-1
46,14046488-0
48,78734770-3
50,49326776-0
52,52968708-7
54,80698616-k
56,83386046-1
58,86555166-5
60,69402733-4
62,72800848-2
64,68377701-3
66,61995722-9
68,54121962-5
70,27952560-4
72,20180335-7
74,75129314-3
76,11091024-k
78,71134226-5
80,89146700-1
82,11554909-k
84,31113786-7
86,11118739-8
88,83118985-1
90,90471139-k
92,89671041-9
94,42226798-0
96,34643031-1
98,27183294-k
100,35340502-0
102,79758989-6
104,86683089-4
106,35662780-6
108,70624789-0
110,34996262-4
112,73842540-5
114,67753422-2
116,16792411-5
118,69698793-9
120,35155157-7
122,56725663-4
124,46012714-9
126,22234852-8
128,35288330-1
130,92244003-4
132,88538509-5
134,51194123-7
136,83905334-7
138,27626683-7
140,80282829-2
142,48979148-k
144,41091494-8
146,16836029-0
148,42723522-k
150,70019535-k
152,75295314-7
154,87649058-7
156,28792266-3
158,69186141-4
160,86447590-6
162,49718772-9
164,92270331-0
166,92394961-5
168,81234956-2
170,87282538-k
172,92253121-8
174,38470405-0
176,18969557-8
178,40503382-8
180,10544563-6
182,31113786-7
184,75766984-6
186,87442136-7
188,44100123-1
190,62887150-7
192,14761964-2
194,49718772-9
196,81602032-8
198,42678415-7
200,87649058-7
202,47121914-2
204,53329659-9
206,49641463-2
208,20694588-5
210,49326776-0
212,53325503-5
214,12842111-4
216,10959343-5
218,94688326-3
220,96964691-9
222,78156640-3
224,92244003-4
226,61514910-1
228,49891081-5
230,75910499-4
232,30001031-8
234,83905334-7
236,95623149-3
238,22060310-5
240,51616764-5
242,70876733-6
244,19209075-k
246,16636734-4
248,49036882-5
250,70638696-3
252,28630079-0
254,53721649-2
256,82376572-k
258,23000993-7
260,74415365-4
262,37925650-3
264,60158787-4
266,79861684-6
268,98642893-3
270,93176945-6
272,42723522-k
274,26196183-0
276,37742604-5
278,29637564-0
280,31113786-7
282,67710168-7
284,80640357-1
286,23298314-0
288,23494123-2
290,91957885-8
292,64269343-3
294,95226644-6
296,22997103-4
298,61993529-2
300,55422937-9
302,89751595-4
304,50109588-5
306,26257768-6
308,55326528-2
310,63795324-9
312,86683089-4
314,35480818-8
316,29637564-0
318,54593722-0
320,27161682-1
322,78897889-8
324,44290962-8
326,37142311-7
328,59129614-0
330,59105378-7
332,30928102-0
334,58191750-3
336,59444986-k
338,15460166-k
340,19942007-0
342,21759577-0
344,87634133-6
346,79861684-6
348,55106753-k
350,68505645-3
352,89793517-1
354,34846808-1
356,81698647-8
358,10927357-0
360,87861767-3
362,20694588-5
364,69020528-9
366,35785969-7
368,89512502-4
370,58303600-8
372,63421928-5
374,84729190-7
376,75397524-1
378,29950437-9
380,34823992-9
382,77366538-9
384,38204359-6
386,59537115-5
388,89793517-1
390,59150917-9
392,56425505-k
394,40644356-6
396,81401624-2
398,40978316-3
400,30991735-9
402,79348268-k
404,68225683-4
406,51317447-0
408,31359212-k
410,29637564-0
412,80885102-4
414,38717290-4
416,80698616-k
418,56474633-9
420,74415365-4
422,14343597-0
424,86083776-5
426,55326528-2
428,88107942-9
430,14761964-2
432,65809271-5
434,33890329-4
436,84921010-6
438,47329036-7
440,29622397-2
442,25368817-3
444,47326835-3
446,33016426-3
448,42300579-3
450,46531952-6
452,37126798-0
454,59137080-4
456,85297873-2
458,52778909-5
460,14761964-2
462,30680313-1
464,44281327-2
466,56499633-5
468,11439340-1
470,83469143-4
472,91935122-5
474,83399209-0
476,54122700-8
478,49798131-k
480,63532763-4
482,28231652-8
484,83290634-4
486,33006349-1
488,54982068-9
490,68377701-3
492,79850677-3
494,19706256-8
496,63688364-6
498,41361801-0
500,97996738-1
502,61863167-2
504,56535213-k
506,66844166-1
508,99837067-1
510,21924647-1
512,73543707-0
514,77020926-9
516,61514910-1
518,82833215-5
520,42162871-8
522,66970190-k
524,29415476-0
526,67629255-1
528,73557956-8
530,17195049-k
532,85301240-8
534,42354523-2
536,75295314-7
538,15451762-6
540,88413708-k
542,69020528-9
544,45453849-8
546,41581842-4
548,59105378-7
550,27143992-k
552,98849412-7
554,70106627-8
556,60926655-4
558,24878659-0
560,38317707-3
562,57689116-4
564,83029887-8
566,45347413-5
568,48246125-5
570,44060880-9
572,22637365-9
574,57792927-0
576,12412672-k
578,93900888-8
580,78918085-7
582,18665525-7
584,80291272-2
586,58038177-4
588,69777560-9
590,28370900-0
592,92244003-4
594,99075946-4
596,73222374-6
598,48553208-0
600,92253121-8
602,12815044-7
604,79348268-k
606,32644502-9
608,50319391-4
610,44770429-3
612,82719046-2
614,14343597-0
616,53783913-9
618,48425773-6
620,69265725-k
622,55326528-2
624,12842111-4
626,70388205-6
628,82319208-8
630,41694611-6
632,87544765-3
634,47121914-2
636,48998776-7
638,64268937-1
640,21219682-7
642,34761062-3
644,12842111-4
646,19027799-2
648,62820832-8
650,61993529-2
652,53747213-8
654,97996738-1
656,42113348-4
658,97404549-4
660,81207716-3
662,12920124-k
664,73418283-4
666,44372095-2
668,83584289-4
670,24129722-5
672,87442136-7
674,90471139-k
676,31679088-7
678,75397524-1
680,28231652-8
682,38235761-2
684,93840785-1
686,43922451-7
688,95932617-7
690,13690129-k
692,99294258-4
694,91059844-9
696,48161908-4
698,93550420-1
