rut,nombre,edad,sexo,cargo
46251263-5,Catalina Luna,90,mujer,Trabajador
92310665-0,Sergio Galaz,47,hombre,Trabajador
77837095-6,Catalina Patiño,55,mujer,Trabajador
66922079-0,Nicolas Henriquez,70,mujer,Trabajador
79464991-k,Magdalena Santibañez,74,hombre,Trabajador
22997103-4,Lisandro Pinto,42,mujer,Trabajador
61890115-7,Leonardo Bucarei,42,hombre,Trabajador
45347413-5,Sofia Peña,29,hombre,Trabajador
54864080-6,Valentina Gutierrez,75,hombre,Trabajador
86447590-6,Simoney Mora,26,hombre,Trabajador
45355149-0,Martin Bustos,54,hombre,Trabajador
19942007-0,Diego Caniullan,89,hombre,Trabajador
79263691-8,Yanara Carrasco,39,mujer,Trabajador
32165632-3,Karla Castillo,38,mujer,Trabajador
66760004-9,Yaimara Cisternas,83,hombre,Trabajador
49326776-0,Pamela Figueroa,91,mujer,Trabajador
97804380-1,Aritza Flores,67,mujer,Trabajador
83399209-0,Giordano Flores,20,hombre,Trabajador
86260284-6,Danae Gamboa,95,mujer,Trabajador
19209075-k,Diego Guajardo,74,mujer,Trabajador
31653150-4,Bayron Guzman,84,mujer,Trabajador
64100872-9,Gabriela Jimenez,26,hombre,Trabajador
72629258-2,Orlando Moraga,56,hombre,Trabajador
17263415-k,Matias Moreno,13,mujer,Trabajador
18208603-7,Matias Painequeo,85,mujer,Trabajador
90414316-2,Sayenn Pavez,26,mujer,Trabajador
16045471-7,Gonzalo Pino,88,mujer,Trabajador
28792266-3,Benjamin Quilacon,37,hombre,Trabajador
68353685-7,Millaray Ramos,56,hombre,Trabajador
99428020-1,Aaron Roa,83,mujer,Trabajador
24840265-2,Martin Rojas,66,hombre,Trabajador
79850677-3,Yael Salcedo,81,hombre,Trabajador
95741388-9,Caceres San,57,mujer,Trabajador
77210598-3,Lucas Santibañez,63,hombre,Trabajador
96187015-1,Luis Torres,57,mujer,Trabajador
68120110-6,Zithlali Ulloa,28,hombre,Trabajador
56619171-7,Javiera Vasquez,66,hombre,Trabajador
51616764-5,Jorge Zumelzu,15,mujer,Trabajador
60916764-5,Alan Aceiton,97,hombre,Trabajador
81252987-0,Paz Aguayo,41,mujer,Trabajador
59192155-k,Flores Al,67,hombre,Trabajador
41391265-2,Lucas Araya,81,hombre,Trabajador
76041278-3,Daniela Arriagada,75,mujer,Trabajador
78158392-8,Benjamin Barria,43,mujer,Trabajador
49995619-3,Franco Benavides,97,mujer,Trabajador
37156185-4,Genesis Cardenas,59,mujer,Trabajador
85410626-0,Sergio Cardenas,24,hombre,Trabajador
10116173-0,Antonio Carrasco,72,hombre,Trabajador
88757035-3,Ian Carrera,30,mujer,Trabajador
68583239-9,Barbara Carvajal,42,hombre,Trabajador
35492826-4,Ignacio Castillo,59,hombre,Trabajador
86683089-4,Alondra Chamorro,91,mujer,Trabajador
28320055-8,Francisca Colima,67,hombre,Trabajador
86043030-4,Constanza Conejeros,87,mujer,Trabajador
27604578-4,Ivanna Contreras,44,mujer,Trabajador
35412165-4,Martin Flores,78,mujer,Trabajador
80869010-1,Constanza Gomez,40,hombre,Trabajador
86555166-5,Franco Gomez,34,mujer,Trabajador
61036645-7,Javiera Grandon,10,hombre,Trabajador
40373818-2,Javier Hurtado,84,mujer,Trabajador
24149278-8,Lucas Jara,84,mujer,Trabajador
43161018-3,Benjamin Jeria,95,mujer,Trabajador
67938721-9,Felipe Jilberto,16,hombre,Trabajador
18768050-6,Constanza Jorquera,32,hombre,Trabajador
49881324-0,Javiera Lizama,54,hombre,Trabajador
36578275-k,Catalina Lopez,28,mujer,Trabajador
92505908-0,Isidora Loyola,83,hombre,Trabajador
16483997-4,Bruno Mardones,36,hombre,Trabajador
91957885-8,Antonella Molina,53,mujer,Trabajador
85930746-9,Escarlet Morales,31,hombre,Trabajador
43630977-5,Javier Moya,30,mujer,Trabajador
70876733-6,Xavier Oyarzun,62,hombre,Trabajador
36731956-9,Silvio Peralta,81,mujer,Trabajador
42127645-5,Yohao Portales,70,hombre,Trabajador
38158176-4,Cesia Ramos,85,mujer,Trabajador
48292072-1,Francisca Reyes,33,mujer,Trabajador
86434438-0,Benjamin Rodriguez,30,mujer,Trabajador
62974576-9,Juan Sanchez,86,mujer,Trabajador
71881591-6,Constanza Sepulveda,53,hombre,Trabajador
16670974-1,Lucas Vasquez,74,hombre,Trabajador
19027799-2,Matias Vega,52,hombre,Trabajador
36669949-k,Isidora Villarroel,98,mujer,Trabajador
58179139-9,Victoria Adasme,75,hombre,Trabajador
80146994-9,Alonso Agurto,41,mujer,Trabajador
34902561-2,Carlos Antifil,99,hombre,Trabajador
27811535-6,Maria Aranda,34,mujer,Trabajador
37653211-9,Ignacio Arias,17,hombre,Trabajador
78734770-3,Rocio Bernales,95,hombre,Trabajador
82260254-1,Amaro Bravo,70,mujer,Trabajador
92253121-8,Sebastian Bustos,34,hombre,Trabajador
53325503-5,Jacob Cartes,98,hombre,Trabajador
27423756-2,Martin Celis,84,hombre,Trabajador
56840142-5,Noelia Cid,21,hombre,Trabajador
99233768-0,Hugo Cordova,37,hombre,Trabajador
95541819-0,Rocio Cuello,30,hombre,Trabajador
61773216-5,Monserrat Echeverria,28,hombre,Trabajador
13635178-8,Fernando Escobar,14,hombre,Trabajador
93310611-k,Emily Farias,40,hombre,Trabajador
85073231-0,Isidora Fernandez,89,hombre,Trabajador
41601315-2,Antonella Garrido,49,mujer,Trabajador
98121429-3,Conzuelo Gonzales,82,hombre,Trabajador
80511365-0,Josefa Huaiquil,53,mujer,Trabajador
62815723-5,Millaray Jimenez,88,hombre,Trabajador
33734821-1,Alondra Llanquiman,30,hombre,Trabajador
25806104-7,Fernando Lopez,76,hombre,Trabajador
23514054-3,Valeria Martinez,74,mujer,Trabajador
72309503-4,Alexia Matus,18,mujer,Trabajador
48908396-5,Martin Neculman,51,mujer,Trabajador
71198104-7,Isidora Orellana,90,hombre,Trabajador
76534733-5,Luis Pacheco,37,hombre,Trabajador
73222374-6,Carlos Pinto,31,mujer,Trabajador
28597225-6,Diego Plaza,25,mujer,Trabajador
32700742-4,Francisca Roblero,97,mujer,Trabajador
28118803-8,Padme Rodriguez,47,hombre,Trabajador
34572846-5,Benjamin Saavedra,34,mujer,Trabajador
42723522-k,Millaray Salazar,65,mujer,Trabajador
15591154-9,Deyanira Santander,73,mujer,Trabajador
16636734-4,Yasmin Suarez,73,mujer,Trabajador
63795324-9,Paloma Sucarrat,87,hombre,Trabajador
65538426-k,Kitzy Vega,53,mujer,Trabajador
62942419-9,Enygger Videla,45,hombre,Trabajador
33236616-5,Simona Vilches,98,mujer,Trabajador
31679088-7,Cristobal Yanka,44,hombre,Trabajador
82581279-2,Abigail Alarcon,48,mujer,Trabajador
35069575-3,Pablo Salazar,52,hombre,Trabajador
99927220-7,Antonio Salinas,83,hombre,Trabajador
70106627-8,Leandro Aravena,34,hombre,Trabajador
43953571-7,Anais Oyarzon,77,mujer,Trabajador
